episode,step,epsilon,reward,loss
22350,2159002,0.1000,6.98,15.5484
22400,2170807,0.1000,6.72,8.3628
22450,2182417,0.1000,7.30,26.4192
22500,2197068,0.1000,9.28,19.7350
22550,2209291,0.1000,7.08,15.7033
22600,2223707,0.1000,9.40,58.3095
22650,2236042,0.1000,7.76,29.5872
22700,2249280,0.1000,8.90,8.5175
22750,2262722,0.1000,8.82,10.3358
22800,2275579,0.1000,7.52,15.7703
22850,2287864,0.1000,7.20,13.5292
22900,2301408,0.1000,8.72,15.2797
22950,2314456,0.1000,8.84,29.3461
23000,2328137,0.1000,8.94,23.4157
23050,2339618,0.1000,6.80,15.3757
23100,2352953,0.1000,9.36,13.8940
23150,2366622,0.1000,8.68,21.2650
23200,2379068,0.1000,8.82,16.5719
23250,2392343,0.1000,8.56,26.3064
23300,2405789,0.1000,8.20,28.1733
23350,2417879,0.1000,8.32,34.2112
23400,2431791,0.1000,8.94,34.7763
23450,2443785,0.1000,7.54,26.7549
23500,2456187,0.1000,8.16,36.2645
23550,2468515,0.1000,7.92,40.9782
23600,2480819,0.1000,8.42,46.1725
23650,2494404,0.1000,8.48,43.1483
23700,2507594,0.1000,8.98,43.8788
23750,2519389,0.1000,7.58,46.7308
23800,2532997,0.1000,8.94,49.1588
23850,2544531,0.1000,6.94,26.6539
23900,2558178,0.1000,8.22,25.8355
23950,2571248,0.1000,8.14,24.1476
24000,2582935,0.1000,6.96,23.3568
24050,2597119,0.1000,9.04,44.4808
24100,2610819,0.1000,8.84,21.4286
24150,2625082,0.1000,9.18,17.7650
24200,2637298,0.1000,7.90,24.8613
24250,2649393,0.1000,7.36,19.4647
24300,2663760,0.1000,9.16,24.7281
24350,2676956,0.1000,8.82,30.6831
24400,2690113,0.1000,9.70,25.9327
24450,2702469,0.1000,8.42,40.6882
24500,2717676,0.1000,9.90,44.4975
24550,2728760,0.1000,6.64,31.2782
24600,2741508,0.1000,7.22,35.2581
24650,2754400,0.1000,8.54,36.0386
24700,2767204,0.1000,8.54,43.1329
24750,2780382,0.1000,8.40,87.4290
24800,2793574,0.1000,9.18,60.3821
